Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22u","C_0805_2012Metric",164.800000,-93.200000,0.000000,top
"C2","22u","C_0805_2012Metric",170.600000,-96.850000,90.000000,top
"C3","10p","C_0402_1005Metric",146.200000,-87.150000,90.000000,top
"C4","100n","C_0402_1005Metric",152.625000,-95.275000,0.000000,top
"C5","10u","C_0603_1608Metric",152.500000,-81.000000,0.000000,top
"C6","100n","C_0402_1005Metric",149.000000,-85.780000,90.000000,top
"C7","10p","C_0402_1005Metric",146.200000,-89.780000,90.000000,top
"C8","100n","C_0402_1005Metric",161.000000,-86.480000,-90.000000,top
"C9","100n","C_0402_1005Metric",152.500000,-83.000000,0.000000,top
"C10","100n","C_0402_1005Metric",158.005000,-95.375000,180.000000,top
"C11","10u","C_0402_1005Metric",149.000000,-90.000000,90.000000,top
"C12","1u","C_0402_1005Metric",147.875000,-94.625000,180.000000,top
"C13","1u","C_0402_1005Metric",147.850000,-96.000000,180.000000,top
"D1","RED ","LED_0603_1608Metric",174.250000,-97.037500,-90.000000,top
"FB1","120R","L_0603_1608Metric",149.725000,-95.262500,-90.000000,top
"J1","Conn_01x04_Male","PinHeader_1x04_P2.54mm_Vertical",153.940000,-75.600000,-90.000000,top
"J2","Conn_01x04_Male","PinHeader_1x04_P2.54mm_Vertical",151.200000,-102.900000,90.000000,top
"J3","Conn_01x04_Male","PinHeader_1x04_P2.54mm_Vertical",168.280000,-75.600000,-90.000000,top
"J4","USB_B_Micro","USB_Micro-B_Wuerth_629105150521",173.745000,-87.605000,90.000000,top
"R1","1k5","R_0402_1005Metric",174.750000,-94.150000,0.000000,top
"R2","1k5","R_0402_1005Metric",157.010000,-99.000000,0.000000,top
"R3","1k5","R_0402_1005Metric",154.265000,-98.975000,180.000000,top
"R4","10k","R_0402_1005Metric",141.490000,-83.000000,0.000000,top
"R5","1k5","R_0402_1005Metric",167.450000,-87.160000,-90.000000,top
"SW1","SW_SPDT","SW_SPDT_PCM12",135.875000,-86.400000,-90.000000,top
"U1","AMS1117-3.3","SOT-223-3_TabPin2",165.500000,-99.000000,-90.000000,top
"U2","STM32F103C8T6","LQFP-48_7x7mm_P0.5mm",155.000000,-89.000000,0.000000,top
"Y1","16Mhz","Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering",142.850000,-88.600000,-90.000000,top
